# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless]
-7.251723097391948869e+00 9.717913255247406790e-01 5.664173922138136807e-02
-7.251680136542770327e+00 9.821133012145669694e-01 5.717454123582298847e-02
-7.251639690301567853e+00 1.006691774424359087e+00 1.161434767040530518e-03
-7.251639573819381290e+00 1.009684652679530892e+00 1.161373118669978190e-03
-7.251335685987245760e+00 9.956473074757239416e-01 8.133519326885133623e-04
-7.251335685939037212e+00 9.788827476404922123e-01 8.131710942666755312e-04
-7.251335680077978907e+00 9.607184131384708392e-01 8.129569955840227615e-04
-7.251333818248784091e+00 1.028113228534589085e+00 6.107140171747654084e-02
-7.251108476504998457e+00 9.791336257823936018e-01 4.875742932067469310e-02
-7.250310104639883235e+00 1.109292148823853630e+00 9.186050811592313178e-04
-7.250310099977044231e+00 1.120147146050566089e+00 9.185605219778185133e-04
-7.250309971385147989e+00 1.105819866286409381e+00 9.185126097663732624e-04
-7.250309966459357547e+00 1.133267595156569607e+00 9.187577373593723172e-04
-7.250230777379430336e+00 1.061721337602325566e+00 8.508987704405004959e-02
-7.250114539919208845e+00 8.861376280970795216e-01 7.845761790084579499e-04
-7.250114536598213810e+00 8.865703163473707127e-01 7.844981298594629277e-04
-7.250114475852138085e+00 9.009849310039118597e-01 7.848061129810382421e-04
-7.250114416095697401e+00 8.743577292044555360e-01 7.843600228525905932e-04
-7.249704384428181214e+00 9.919845030097327321e-01 6.421924913852911088e-02
-7.249679515038454092e+00 1.017516889281305126e+00 7.070215211940825140e-02
-7.249554897216428095e+00 9.751078562786407167e-01 7.404147770748491231e-02
-7.249464366539475790e+00 9.855557276888161633e-01 7.468982568869243777e-02
-7.248747128839876375e+00 8.692681265809985014e-01 1.093698624624012605e-03
-7.248747011956210962e+00 8.674548012052177848e-01 1.093610133990104236e-03
-7.248747007895555150e+00 8.769657553960423790e-01 1.093731562503622370e-03
-7.248746882506674538e+00 8.745856563275309359e-01 1.093726301782888552e-03
-7.248702382820312984e+00 1.012460304398013378e+00 5.986144458942487673e-02
-7.248505061161528040e+00 9.414561838696589025e-01 1.053750443210391130e-03
-7.248504919843997030e+00 9.543155489176901041e-01 1.053832712925158784e-03
-7.248504914326906245e+00 9.574197358164233673e-01 1.053791286902831890e-03
-7.248504620950933841e+00 9.567993847985348799e-01 1.053816678496961477e-03
-7.247492011170164616e+00 9.549534788308539079e-01 4.713240108039867815e-02
-7.247435380808759930e+00 9.942810406320379268e-01 4.955615859235273229e-02
-7.247308381000725497e+00 9.899349084694495371e-01 8.132223970107290345e-04
-7.247308380688813223e+00 1.002163258617550179e+00 8.133092601484889208e-04
-7.247308363898235406e+00 9.966335863646275106e-01 8.132851928209160978e-04
-7.247308346862286754e+00 1.015021237816747135e+00 8.134400040009403306e-04
-7.246726200209152147e+00 1.052391846728388147e+00 6.961854243569172169e-04
-7.246725968390774320e+00 1.039610189084541281e+00 6.961974107620961735e-04
-7.246725850538081382e+00 1.073840863479946783e+00 6.964606230730805260e-04
-7.246725846172833663e+00 1.060533355577745640e+00 6.956439756384275985e-04
-7.246589929697760724e+00 9.503039148705072492e-01 8.365903307412294460e-04
