# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless]
-7.253914254099306902e+00 1.010201165239225096e+00 7.445023572759057462e-02
-7.253874384911664919e+00 1.013527455450719650e+00 6.929195715971273040e-02
-7.253681038332168818e+00 1.003623341216549836e+00 6.852803847365233902e-02
-7.253143451618263349e+00 9.342532311751057250e-01 6.452002297542738796e-02
-7.253143427808783628e+00 8.961233510871718932e-01 6.194838466724481713e-02
-7.252937905510159489e+00 1.046021163406987586e+00 8.362728791579047971e-02
-7.252738726407260472e+00 9.533695915433346713e-01 6.633324473878558780e-02
-7.252738724137074655e+00 9.338139606115681834e-01 6.482652342116429489e-02
-7.252738682664919168e+00 9.473548502201705190e-01 6.569475900198248897e-02
-7.252738641890068116e+00 9.427987573609525329e-01 6.552315561353323770e-02
-7.251752634195208103e+00 9.792184533408244684e-01 7.036234572006208610e-02
-7.251723097391948869e+00 9.717913255247406790e-01 5.664173922138136807e-02
-7.251680136542770327e+00 9.821133012145669694e-01 5.717454123582298847e-02
-7.251639690301567853e+00 1.007039048902255374e+00 1.394037142616295633e-01
-7.251639573819381290e+00 1.010044394021040626e+00 1.409362141774019583e-01
-7.251335685987245760e+00 9.750983883670409913e-01 6.709230443255971565e-02
-7.251335685939037212e+00 9.574806952075280986e-01 6.599848095882701604e-02
-7.251335680077978907e+00 9.403013961381999630e-01 6.475557558339385678e-02
-7.251333818248784091e+00 1.028113228534589085e+00 6.107140171747654084e-02
-7.251108476504998457e+00 9.791336257823936018e-01 4.875742932067469310e-02
-7.250310104639883235e+00 1.124041374220831502e+00 9.902064373792356100e-02
-7.250310099977044231e+00 1.134964176262493130e+00 9.912298559037201195e-02
-7.250309971385147989e+00 1.120497712445086558e+00 9.842408987757192418e-02
-7.250309966459357547e+00 1.148284001197042770e+00 1.005751582744381922e-01
-7.250230777379430336e+00 1.061721337602325566e+00 8.508987704405004959e-02
-7.250114539919208845e+00 9.559399096323817346e-01 6.674953557769966461e-02
-7.250114536598213810e+00 9.570007335721660846e-01 6.674270132724888227e-02
-7.250114475852138085e+00 9.713541161619708708e-01 6.790942885990890188e-02
-7.250114416095697401e+00 9.444043048371264515e-01 6.578620292679734916e-02
-7.249704384428181214e+00 9.919845030097327321e-01 6.421924913852911088e-02
-7.249679515038454092e+00 1.017516889281305126e+00 7.070215211940825140e-02
-7.249554897216428095e+00 9.751078562786407167e-01 7.404147770748491231e-02
-7.249464366539475790e+00 9.855557276888161633e-01 7.468982568869243777e-02
-7.248747128839876375e+00 8.762352672568921585e-01 1.073708044490420815e-01
-7.248747011956210962e+00 8.743416146358868879e-01 1.074526884624594225e-01
-7.248747007895555150e+00 8.841163373648593948e-01 1.077566660835507784e-01
-7.248746882506674538e+00 8.816561149627251126e-01 1.077457616839789800e-01
-7.248702382820312984e+00 1.012460304398013378e+00 5.986144458942487673e-02
-7.248505061161528040e+00 9.610680044386064047e-01 1.304043180179786932e-01
-7.248504919843997030e+00 9.740359017071346104e-01 1.317852892895046701e-01
-7.248504914326906245e+00 9.768849818366448501e-01 1.314138191484325868e-01
-7.248504620950933841e+00 9.764113842208397287e-01 1.317278271612596918e-01
-7.247492011170164616e+00 9.549534788308539079e-01 4.713240108039867815e-02
-7.247435380808759930e+00 9.942810406320379268e-01 4.955615859235273229e-02
-7.247308381000725497e+00 9.713272070867275954e-01 6.666711172325556767e-02
-7.247308380688813223e+00 9.827091276201306291e-01 6.750224224777062743e-02
-7.247308363898235406e+00 9.785135765206098846e-01 6.710840919530051962e-02
-7.247308346862286754e+00 9.946951018494623042e-01 6.838195943689819034e-02
-7.246726200209152147e+00 1.068073942192157455e+00 1.273727705517514186e-01
-7.246725968390774320e+00 1.054971559329349384e+00 1.254543198600275855e-01
-7.246725850538081382e+00 1.089977160993528482e+00 1.303532376580760210e-01
-7.246725846172833663e+00 1.076602632569896301e+00 1.291184330550562698e-01
-7.246589929697760724e+00 9.504194697763495014e-01 7.357717659622238504e-02
