# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.273503477281828111e+00 8.712650704884260522e-01 8.303974433161952218e-02 2.454892795016999822e+06
-7.273448453030145089e+00 8.737021486286834504e-01 8.309156553416244262e-02 2.454892545001999941e+06
-7.273124078483661492e+00 9.633742595922282215e-01 9.538094627184348639e-02 2.454900295799999963e+06
-7.273111443818797817e+00 1.088068849959188622e+00 9.045170109786469792e-02 2.455259545411999803e+06
-7.272733325725093678e+00 9.896799662843018819e-01 8.515339143563183111e-02 2.455262794993000105e+06
-7.272695607271833396e+00 8.900545091868021785e-01 6.974317694525490607e-02 2.459280043785999995e+06
-7.272651004303997802e+00 1.083031798556389980e+00 1.815842479380262026e-02 2.453076293879999779e+06
-7.272650789407238747e+00 1.081602150131630857e+00 1.815848164013359259e-02 2.453076043819999788e+06
-7.272650681949717644e+00 1.093325668803647455e+00 1.815885521486469353e-02 2.453075543924999889e+06
-7.272650677916780992e+00 1.117175428331104170e+00 1.815873030422638854e-02 2.453075793939999770e+06
-7.272555100149294738e+00 9.855685485206955310e-01 7.381146050219591914e-02 2.459282043384999968e+06
-7.272538866841510519e+00 9.395872224090930924e-01 7.157487579711463432e-02 2.459281543297000229e+06
-7.272319587352742865e+00 1.137557650129555453e+00 9.436134587926438277e-02 2.455260295477999840e+06
-7.272294988509617752e+00 1.101761953997171695e+00 9.172362919663103187e-02 2.455260045407999773e+06
-7.272294987966587243e+00 1.088154430015507712e+00 9.062430677099067577e-02 2.455259795448000077e+06
-7.272185481982759825e+00 9.845596387959942852e-01 5.696023996388063088e-02 2.454536044153000228e+06
-7.271850715369144957e+00 9.756323601170302506e-01 8.433508989166080272e-02 2.455263045123000164e+06
-7.271849338429555942e+00 9.411031766575395086e-01 6.404145414678553971e-02 2.459649544007000048e+06
-7.271452819548280821e+00 8.632125189583371716e-01 8.270961077716304510e-02 2.454893086744999979e+06
-7.271414754036041650e+00 8.731906216413974908e-01 5.086670085344255354e-02 2.454526545741000213e+06
-7.271318229479284412e+00 8.954276048446390135e-01 6.998304210317768392e-02 2.459279544213000219e+06
-7.271085035863027457e+00 1.036882429429140329e+00 7.641733690862835549e-02 2.459283045957999770e+06
-7.270796773426422277e+00 1.009914705922567713e+00 8.640204586725601377e-02 2.455262545342000201e+06
-7.270761165666439041e+00 9.865943179380015637e-01 9.657259273670201760e-02 2.454900043114999775e+06
-7.270701242755819749e+00 9.734577463838667288e-01 9.568717743224625094e-02 2.454899751556000207e+06
-7.270701241279162730e+00 9.677559043050150134e-01 9.526765547326758454e-02 2.454899543233000208e+06
-7.270596730837781685e+00 1.093914982215878018e+00 7.386071196459466359e-02 2.459643044147999957e+06
-7.270100252464489543e+00 1.233631166183474015e+00 1.390653263660993760e-02 2.452709295644000173e+06
-7.270100250738193992e+00 1.247743730361146275e+00 1.390683265923728373e-02 2.452708544617000036e+06
-7.270100159006030793e+00 1.248530191508193887e+00 1.390673156001885624e-02 2.452709044706000015e+06
-7.270100070537049319e+00 1.257390286357954468e+00 1.390682930199504085e-02 2.452708794679999817e+06
-7.269662940071280666e+00 9.559047430629598052e-01 8.327356109549965968e-02 2.455263545072999783e+06
-7.269437436349041270e+00 8.913070914364519259e-01 6.981617963795236359e-02 2.459279045528999995e+06
-7.269033567191368839e+00 9.913644578944301733e-01 7.413181330934863478e-02 2.459282545981000178e+06
-7.268955623826900414e+00 1.052843607924100366e+00 8.662993271295953146e-02 2.455258545458000153e+06
-7.268803019219424399e+00 9.105067764715508716e-01 6.606281156947809222e-03 2.452341545814000070e+06
-7.268802908388397377e+00 8.619276637995766377e-01 6.605713025445966551e-03 2.452342295814000070e+06
