# heliocentricLat[deg] normalizedFlux[unitless]
-7.231570935911645570e+00 1.029705365425300112e+00
-7.231460198826724195e+00 9.989420013821803668e-01
-7.231242988981193776e+00 1.054556763790287732e+00
-7.230954787978279619e+00 9.248154073009506870e-01
-7.230782338368562101e+00 9.856931709772327466e-01
-7.230756746828656212e+00 8.895635183121487488e-01
-7.230667419603940438e+00 9.242698749167694849e-01
-7.229794770341612775e+00 1.107172226459053554e+00
-7.229701997318508155e+00 1.028105202412360919e+00
-7.229466202822217191e+00 9.315264598554516828e-01
-7.229230593515246106e+00 9.686541530205957651e-01
-7.229035757199490320e+00 9.892026830033519014e-01
-7.228978341052092027e+00 9.105651894255732959e-01
-7.228978224770886918e+00 9.330256543854995588e-01
-7.228978099732390916e+00 9.206370783426967019e-01
-7.228498695866355739e+00 9.859310519747971346e-01
-7.228461952836833682e+00 1.098543813185945517e+00
-7.228324743946409114e+00 9.944191240901942841e-01
-7.228263480185573187e+00 9.957018630192572273e-01
-7.227834582586969425e+00 1.046774930588754815e+00
-7.227834404867974349e+00 1.045750030797671926e+00
-7.227673862300281193e+00 1.093921563820835496e+00
-7.227673832495707273e+00 1.081298175053469812e+00
-7.227673803276783104e+00 1.049004842529709158e+00
-7.227673801664455056e+00 1.064828341446206750e+00
-7.227647452203860290e+00 1.043612222526359323e+00
-7.227467602421235426e+00 9.350801455003308060e-01
-7.227327829715886054e+00 1.025752621082489879e+00
-7.227107511057901945e+00 1.195854562313646285e+00
-7.226812800677661741e+00 9.797504645025163494e-01
