# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.263150865703134507e+00 8.755453607927792259e-01 1.081988496850414122e-01 2.453430804893000051e+06
-7.263150769045241262e+00 8.731027113399828510e-01 1.084720508804657146e-01 2.453431304041000083e+06
-7.263150676224822355e+00 8.830766645064976883e-01 1.088382025544868265e-01 2.453430554864999838e+06
-7.263150671071882947e+00 8.728101950975011292e-01 1.081487249000269851e-01 2.453431054893000051e+06
-7.262702127280741493e+00 9.564686799071976386e-01 6.364082448397273550e-02 2.454525804651000071e+06
-7.262615359040715646e+00 9.450361871580765794e-01 6.287578322772283124e-02 2.454526304628999904e+06
-7.262269102603018389e+00 1.009960232015634451e+00 1.177623263197927067e-01 2.452343805238000117e+06
-7.262269027434619773e+00 1.016401946224835484e+00 1.188515908897506551e-01 2.452344055234000087e+06
-7.262269025992715399e+00 1.011551752712946284e+00 1.176118998869804394e-01 2.452343555273000151e+06
-7.262268872799934272e+00 1.014817817950729006e+00 1.190048877644651754e-01 2.452344305263999850e+06
-7.261720544130124466e+00 9.150439260012511733e-01 1.013223211828305631e-01 2.452339305238999892e+06
-7.261720522070562289e+00 9.194829450321808650e-01 1.015202210147351236e-01 2.452339055213999934e+06
-7.261720500010004464e+00 9.191660425719039296e-01 1.009005862689961036e-01 2.452338555242999922e+06
-7.261720499179800115e+00 9.146625362170539564e-01 1.006968638122299337e-01 2.452338805228000041e+06
-7.261716597889561697e+00 1.069032610088295643e+00 1.421283274905280614e-01 2.453076802891999949e+06
-7.261716476554426869e+00 1.055525536080154092e+00 1.407376462521630067e-01 2.453077053011999931e+06
-7.261716215290903165e+00 1.059012966860698013e+00 1.416120587802360553e-01 2.453077305126999971e+06
-7.261362533267537778e+00 1.003301085094489009e+00 6.673516307142172976e-02 2.459641554866000079e+06
-7.261333591337077564e+00 1.148307139935008214e+00 9.918220560964152721e-02 2.452709555114000104e+06
-7.261333589240731357e+00 1.135431904375853174e+00 9.835219101340972325e-02 2.452709805478999857e+06
-7.261333482166606679e+00 1.112442870979748255e+00 9.663773307343685726e-02 2.452710054814000148e+06
-7.261333257350764292e+00 1.116913677273774219e+00 9.730434790981123960e-02 2.452710304481000174e+06
-7.261150846423170435e+00 1.056664166818686024e+00 5.243050526686461599e-02 2.455627054808999877e+06
-7.260885369557475322e+00 1.183986407869021429e+00 5.866741010169227583e-02 2.455626055261999834e+06
-7.260694773983704664e+00 1.006345560409642070e+00 7.471932284245665079e-02 2.455258052895000204e+06
-7.260638529820016451e+00 1.017672499325461111e+00 7.572718143786495715e-02 2.455258304752999917e+06
-7.260217401222488043e+00 9.883903984280809629e-01 5.967946363013267724e-02 2.458916053964000195e+06
-7.260191635711959357e+00 9.820017250043254764e-01 5.922851308768655593e-02 2.458915554351999890e+06
-7.260059274935852791e+00 1.160368086610659155e+00 5.746061007169609575e-02 2.455625555108999833e+06
-7.260002366823336217e+00 1.063403331598335777e+00 5.280407588144669234e-02 2.455627554748000111e+06
-7.259682077527398469e+00 1.000310908022262524e+00 6.045639338642559701e-02 2.458916552974999882e+06
-7.259670543071136350e+00 1.017546764522492708e+00 8.062679754727931913e-02 2.455265055106000043e+06
-7.259623610455545162e+00 1.000743642067644990e+00 6.278983433687851390e-02 2.459285054198999889e+06
-7.259602545146055519e+00 9.727670329827465823e-01 5.854878285160054069e-02 2.458914555279999971e+06
-7.259568111122636225e+00 9.979914052193846752e-01 6.221467207867475285e-02 2.459284554903000128e+06
-7.258960200727283762e+00 9.794293127052792203e-01 6.813398243411029898e-02 2.454890555197999813e+06
-7.258648401055676658e+00 1.133362857790919831e+00 5.605646063219371644e-02 2.455624554070000071e+06
-7.258613940782896456e+00 1.081731006907592052e+00 5.377393378779021099e-02 2.455628272444999777e+06
-7.258591914502281028e+00 9.799720944102064957e-01 5.931039750545698958e-02 2.458917053152999841e+06
-7.258478971712972516e+00 9.720971959348726488e-01 5.857489140732029254e-02 2.458915054512999952e+06
-7.258329412794089386e+00 9.616389254701336320e-01 7.524493800343359795e-02 2.452700553764999844e+06
-7.258329346272079263e+00 9.664084826220027402e-01 7.621066813564879305e-02 2.452701303667999804e+06
-7.258329342651609117e+00 9.646799524812456061e-01 7.567849794115699691e-02 2.452700803596999962e+06
-7.258329276041687095e+00 9.627877475839602406e-01 7.572718090082085352e-02 2.452701053770000115e+06
-7.258220702572486083e+00 1.003405980938685271e+00 7.542395350578802449e-02 2.454900804810000118e+06
-7.258141206753554897e+00 9.880022098567126099e-01 7.410117016188408345e-02 2.454900554750999901e+06
-7.257917364525081183e+00 1.062771500062788643e+00 5.281387749025193146e-02 2.455628053305000067e+06
-7.257866740706633735e+00 9.712787279744502511e-01 6.988157862632336792e-02 2.454172398804999888e+06
-7.257674570686539539e+00 9.904982939938516973e-01 6.714437585986876567e-02 2.459650555176999886e+06
