#t_obs[JD] flux[W/m^2] flux_unc[W/m^2]
2450616.000000 1360.871000 0.136000
2450617.000000 1360.919000 0.132000
2450618.000000 1360.931000 0.135000
2450619.000000 1360.921000 0.134000
2450620.000000 1360.916000 0.133000
2450621.000000 1360.921000 0.136000
2450622.000000 1360.912000 0.131000
2450623.000000 1360.878000 0.136000
2450624.000000 1360.843000 0.131000
2450625.000000 1360.878000 0.136000
2450626.000000 1360.923000 0.132000
2450627.000000 1360.946000 0.135000
2450628.000000 1360.954000 0.134000
2450629.000000 1360.943000 0.132000
2450630.000000 1360.908000 0.136000
2450631.000000 1360.876000 0.131000
2450632.000000 1360.875000 0.137000
2450633.000000 1360.869000 0.131000
2450634.000000 1360.842000 0.136000
2450635.000000 1360.804000 0.133000
2450636.000000 1360.796000 0.135000
2450637.000000 1360.803000 0.135000
2450638.000000 1360.801000 0.132000
2450639.000000 1360.789000 0.136000
2450640.000000 1360.775000 0.131000
2450641.000000 1360.784000 0.137000
2450642.000000 1360.787000 0.131000
2450643.000000 1360.781000 0.136000
2450644.000000 1360.764000 0.132000
2450645.000000 1360.783000 0.135000
2450646.000000 1360.819000 0.135000
2450647.000000 1360.853000 0.132000
2450648.000000 1360.893000 0.136000
2450649.000000 1360.921000 0.131000
2450650.000000 1360.908000 0.137000
2450651.000000 1360.888000 0.132000
2450652.000000 1360.882000 0.136000
2450653.000000 1360.879000 0.133000
2450654.000000 1360.892000 0.134000
2450655.000000 1360.918000 0.136000
2450656.000000 1360.931000 0.133000
2450657.000000 1360.918000 0.138000
2450658.000000 1360.898000 0.134000
2450659.000000 1360.861000 0.139000
2450660.000000 1360.815000 0.134000
2450661.000000 1360.804000 0.137000
2450662.000000 1360.801000 0.135000
2450663.000000 1360.811000 0.134000
2450664.000000 1360.838000 0.136000
2450665.000000 1360.849000 0.131000
2450666.000000 1360.836000 0.137000
2450667.000000 1360.819000 0.131000
2450668.000000 1360.831000 0.137000
2450669.000000 1360.841000 0.132000
2450670.000000 1360.861000 0.135000
2450671.000000 1360.883000 0.134000
2450672.000000 1360.898000 0.133000
2450673.000000 1360.906000 0.137000
2450674.000000 1360.905000 0.132000
2450675.000000 1360.891000 0.138000
2450676.000000 1360.871000 0.133000
2450677.000000 1360.866000 0.138000
2450678.000000 1360.861000 0.134000
2450679.000000 1360.862000 0.137000
2450680.000000 1360.864000 0.136000
2450681.000000 1360.871000 0.134000
2450682.000000 1360.888000 0.137000
2450683.000000 1360.913000 0.132000
2450684.000000 1360.991000 0.137000
2450685.000000 1361.059000 0.131000
2450686.000000 1361.021000 0.136000
2450687.000000 1360.952000 0.132000
2450688.000000 1360.881000 0.134000
2450689.000000 1360.803000 0.135000
2450690.000000 1360.789000 0.132000
2450691.000000 1360.884000 0.136000
2450692.000000 1360.981000 0.131000
2450693.000000 1361.094000 0.136000
2450694.000000 1361.197000 0.131000
2450695.000000 1361.113000 0.136000
2450696.000000 1360.973000 0.132000
2450697.000000 1360.842000 0.134000
2450698.000000 1360.717000 0.135000
2450699.000000 1360.561000 0.132000
2450700.000000 1360.348000 0.136000
2450701.000000 1360.165000 0.131000
2450702.000000 1360.205000 0.137000
2450703.000000 1360.264000 0.131000
2450704.000000 1360.483000 0.136000
2450705.000000 1360.749000 0.133000
2450706.000000 1360.868000 0.134000
2450707.000000 1360.858000 0.135000
2450708.000000 1360.855000 0.131000
2450709.000000 1360.878000 0.136000
2450710.000000 1360.906000 0.131000
2450711.000000 1360.998000 0.136000
2450712.000000 1361.091000 0.131000
2450713.000000 1361.088000 0.135000
2450714.000000 1361.041000 0.133000
2450715.000000 1360.986000 0.133000
2450716.000000 1360.921000 0.135000
2450717.000000 1360.898000 0.131000
2450718.000000 1360.998000 0.136000
2450719.000000 1361.097000 0.131000
2450720.000000 1361.157000 0.136000
2450721.000000 1361.208000 0.131000
2450722.000000 1361.198000 0.135000
2450723.000000 1361.161000 0.134000
2450724.000000 1361.147000 0.133000
2450725.000000 1361.162000 0.136000
2450726.000000 1361.185000 0.131000
2450727.000000 1361.231000 0.136000
2450728.000000 1361.277000 0.131000
2450729.000000 1361.301000 0.136000
2450730.000000 1361.325000 0.132000
2450731.000000 1361.319000 0.135000
2450732.000000 1361.298000 0.134000
2450733.000000 1361.269000 0.132000
2450734.000000 1361.222000 0.136000
2450735.000000 1361.175000 0.131000
2450736.000000 1361.117000 0.137000
2450737.000000 1361.068000 0.131000
2450738.000000 1361.084000 0.136000
2450739.000000 1361.118000 0.132000
2450740.000000 1361.138000 0.134000
2450741.000000 1361.149000 0.135000
2450742.000000 1361.162000 0.132000
2450743.000000 1361.175000 0.136000
2450744.000000 1361.191000 0.131000
2450745.000000 1361.207000 0.136000
2450746.000000 1361.223000 0.131000
2450747.000000 1361.242000 0.136000
2450748.000000 1361.263000 0.133000
2450749.000000 1361.229000 0.134000
2450750.000000 1361.152000 0.136000
2450751.000000 1361.101000 0.133000
2450752.000000 1361.099000 0.139000
2450753.000000 1361.079000 0.133000
2450754.000000 1360.938000 0.138000
2450755.000000 1360.779000 0.133000
2450756.000000 1360.786000 0.138000
2450757.000000 1360.846000 0.136000
2450758.000000 1360.981000 0.137000
2450759.000000 1361.187000 0.138000
2450760.000000 1361.325000 0.134000
2450761.000000 1361.311000 0.139000
2450762.000000 1361.284000 0.134000
2450763.000000 1361.212000 0.139000
2450764.000000 1361.137000 0.134000
2450765.000000 1361.135000 0.138000
2450766.000000 1361.164000 0.136000
2450767.000000 1361.133000 0.135000
2450768.000000 1361.038000 0.136000
2450769.000000 1360.938000 0.131000
2450770.000000 1360.833000 0.136000
2450771.000000 1360.741000 0.131000
2450772.000000 1360.769000 0.136000
2450773.000000 1360.818000 0.132000
2450774.000000 1360.995000 0.135000
2450775.000000 1361.234000 0.134000
2450776.000000 1361.417000 0.133000
2450777.000000 1361.534000 0.135000
2450778.000000 1361.598000 0.131000
2450779.000000 1361.501000 0.137000
2450780.000000 1361.399000 0.131000
2450781.000000 1361.277000 0.136000
2450782.000000 1361.153000 0.132000
2450783.000000 1361.101000 0.135000
2450784.000000 1361.091000 0.134000
2450785.000000 1361.114000 0.132000
2450786.000000 1361.191000 0.136000
2450787.000000 1361.267000 0.131000
2450788.000000 1361.327000 0.136000
2450789.000000 1361.378000 0.131000
2450790.000000 1361.283000 0.136000
2450791.000000 1361.153000 0.132000
2450792.000000 1361.091000 0.134000
2450793.000000 1361.072000 0.135000
2450794.000000 1361.075000 0.132000
2450795.000000 1361.119000 0.136000
2450796.000000 1361.151000 0.131000
2450797.000000 1361.123000 0.136000
2450798.000000 1361.088000 0.131000
2450799.000000 1361.038000 0.136000
2450800.000000 1360.982000 0.133000
2450801.000000 1361.032000 0.134000
2450802.000000 1361.165000 0.135000
2450803.000000 1361.227000 0.132000
2450804.000000 1361.144000 0.136000
2450805.000000 1361.073000 0.131000
2450806.000000 1361.071000 0.136000
2450807.000000 1361.081000 0.131000
2450808.000000 1361.117000 0.136000
2450809.000000 1361.167000 0.133000
2450810.000000 1361.202000 0.134000
2450811.000000 1361.225000 0.135000
2450812.000000 1361.251000 0.131000
2450813.000000 1361.282000 0.136000
2450814.000000 1361.323000 0.131000
2450815.000000 1361.406000 0.136000
