# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s]
2458526.039050 146403637787.000000 171.000000 72452420.468987 97570.522852
2458526.043179 146403820515.000000 284.000000 1495881.531110 97948.201361
2458526.048443 146403820515.000000 195.000000 30362954.816971 97602.507772
2458526.052500 146404000497.000000 304.000000 10405130.520475 98372.446136
2458526.541240 146416735673.000000 171.000000 74028397.069839 97581.583854
2458526.545331 146416920365.000000 284.000000 1591913.644224 97706.782174
2458526.550612 146416920365.000000 195.000000 31762368.810422 97524.949640
2458526.554667 146417096006.000000 304.000000 10845434.363662 98086.606627
2458527.041493 146429941314.000000 171.000000 72855497.076576 97465.603679
2458527.045593 146430128001.000000 284.000000 1583384.068502 97615.587076
2458527.050892 146430128001.000000 195.000000 31922418.478170 97497.199734
2458527.054950 146430310445.000000 304.000000 10474280.622607 97925.863971
2458527.541311 146443252817.000000 171.000000 74067472.320244 97469.815078
2458527.545416 146443439849.000000 284.000000 1683003.636646 97483.315147
2458527.550815 146443439849.000000 195.000000 32391766.152443 97499.133984
2458527.554870 146443624301.000000 304.000000 10738248.103537 97923.845197
2458528.041542 146456672310.000000 171.000000 74552722.078775 97479.670900
2458528.045643 146456854884.000000 284.000000 1730399.779856 97487.978773
2458528.050947 146456854884.000000 195.000000 32584135.815135 97436.116944
2458528.055002 146457046105.000000 304.000000 10624540.419550 97649.496853
2458528.541046 146470189868.000000 171.000000 74689967.867428 97476.053943
2458528.545166 146470379158.000000 284.000000 1754166.710344 97410.345214
2458528.550462 146470379158.000000 195.000000 33347752.610654 97321.046545
2458528.554518 146470570608.000000 304.000000 10710883.921236 97646.131200
2458529.041111 146483814442.000000 171.000000 74963081.390416 97374.934361
2458529.045227 146484003893.000000 284.000000 1736397.019314 97256.287309
2458529.050533 146484003893.000000 195.000000 33558693.230892 97221.112581
2458529.054596 146484190935.000000 304.000000 10735464.476835 97605.340918
2458529.541876 146497532724.000000 171.000000 74328032.625129 97466.709660
2458529.545976 146497728896.000000 284.000000 1749585.803984 96966.060545
2458529.551274 146497728896.000000 195.000000 33566594.282241 97225.807020
2458529.555351 146497916110.000000 304.000000 10720356.241459 97522.373042
2458530.041744 146511350134.000000 171.000000 73643960.596054 97389.346021
2458530.045844 146511541984.000000 284.000000 1749723.473427 96945.968735
2458530.051146 146511541984.000000 195.000000 33087010.866915 97229.000478
