# t_obs[JD] flux_mean[DN/s] flux_stdev[DN/s]
2452043.973355 578.501770 433.874421
2452043.976828 884.960659 7.942134
2452043.987254 925.998703 86.089590
2452043.997686 884.750103 58.508844
2452044.008104 870.626534 81.656027
2452044.018528 863.634281 36.714849
2452044.039380 857.264744 23.380386
2452044.060194 854.140823 41.715663
2452044.081030 852.156155 18.433668
2452044.101886 851.332607 61.219728
2452044.308450 841.485109 2.824160
2452044.314473 841.509572 3.595312
2452044.318267 841.857691 18.593814
2452044.323176 840.914335 45.169058
2452048.591579 841.387946 3.033793
2452048.608310 841.447807 24.521443
2452055.591645 841.396042 3.623606
2452055.608289 840.266253 26.517118
2452062.591664 841.314788 10.730732
2452062.608352 841.283079 4.371741
2452069.591668 841.191189 3.410398
2452069.608348 841.171390 3.490114
2452076.205357 841.654039 9.663047
2452076.209358 841.757788 8.930556
2452076.213201 842.780693 28.411337
2452076.218174 845.102258 62.699196
2452076.378730 841.924138 6.850607
2452078.042998 857.977612 34.140862
2452079.051199 989.040531 54.711913
2452079.054671 922.674465 24.236494
2452079.058144 895.962963 17.238525
2452079.061615 883.054832 8.325450
2452079.072048 922.994698 88.609885
2452079.082449 882.609203 45.188330
2452079.092867 868.388885 33.223175
2452079.103282 862.103588 39.110055
2452079.124171 855.634789 24.063041
2452079.145059 852.754356 58.840113
2452079.165881 850.818863 22.470842
2452079.186742 849.699505 44.407643
2452079.360254 841.046320 3.881302
2452079.364076 841.092323 5.551505
2452079.367905 841.442416 19.892756
2452079.372870 842.136205 20.245267
2452083.591185 841.287092 7.099401
2452083.607851 841.282093 3.404150
2452091.990106 993.996582 8.140632
2452091.993584 856.750549 6.003425
2452092.000649 811.333008 7.472284
2452097.591640 841.200223 3.989811
2452097.608316 841.198151 8.923856
2452104.590513 841.187016 13.112008
2452104.607187 841.127179 3.551689
2452111.591146 841.125783 3.473874
2452111.607813 840.311120 29.214751
2452118.591207 841.185460 3.428943
2452118.607873 841.412567 37.247159
2452124.645721 841.153224 4.116319
2452124.649510 841.177440 5.965475
2452132.591262 841.316190 3.850596
2452132.607502 841.302174 7.204480
2452139.591577 841.421115 9.706517
2452139.609584 841.405849 8.045847
2452146.587399 841.341322 3.654988
2452146.608249 841.380156 15.426035
2452153.233850 841.754632 3.549180
2452153.237683 841.828203 2.995710
2452153.241556 841.536153 38.275522
2452153.246558 843.127394 37.920307
2452153.363591 842.201053 4.657931
2452156.967590 997.294640 58.076045
2452156.971062 927.242188 25.671003
2452156.974535 899.037357 13.404349
2452156.978008 885.500534 10.465840
2452156.988424 928.639835 105.133097
2452156.998840 885.958092 64.269478
2452157.009257 870.784058 30.448143
2452157.019682 864.010597 25.932507
2452157.040508 857.724773 56.895227
2452157.061340 854.394287 62.572139
2452157.082175 852.478973 40.004983
2452157.102658 851.227325 36.317306
2452157.213333 841.458087 4.763522
2452157.217159 128.170633 302.335699
2452157.221001 841.755680 28.816178
2452157.225818 842.489605 33.066069
2452160.591677 841.503625 3.573112
2452160.609512 841.534612 13.068590
2452167.591621 841.712907 3.673215
2452167.608367 841.689859 3.449100
2452174.591557 841.644724 3.078017
2452174.608375 841.681280 4.062993
2452181.591667 841.250617 7.973956
2452181.608336 841.273576 13.200537
2452188.590521 841.215449 2.962268
2452188.607185 841.232327 10.295703
2452195.590888 841.159088 3.983072
2452195.607527 841.205580 6.965895
2452202.591619 841.271880 6.806296
2452202.608295 841.269487 8.702906
