# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2452452.545738 11241258.647565 101150.668053 0 0
2452452.795738 11264099.093854 101153.016186 0 0
2452453.295736 11205160.462115 101156.947753 0 0
2452453.545748 11208264.886988 101150.551692 0 0
2452453.795741 11263534.679533 101150.817412 0 0
2452454.045736 11210366.053256 101150.191930 0 0
2452454.295746 11270738.623881 101200.305525 0 0
2452454.545755 11353141.479757 101205.886849 0 0
2452454.795737 11434580.518985 101196.301906 0 0
2452455.045756 11475780.128067 101195.403920 0 0
2452455.295742 11407684.549743 101194.612525 0 0
2452455.795753 11560445.275570 101117.785336 0 0
2452456.045738 11334581.469233 101115.949718 0 0
2452456.295735 11329309.671583 101126.650588 0 0
2452456.545741 11253662.250134 101161.349824 0 0
2452456.795745 11330533.756231 101160.541312 0 0
2452457.045736 11305893.590185 101160.679659 0 0
2452457.295769 11381050.916151 101159.488785 0 0
2452457.795770 11077642.843106 101152.396187 0 0
2452458.045746 11010218.634103 101150.925287 0 0
2452458.295783 10773072.361647 101181.353152 0 0
2452458.545780 10847095.248490 101150.998740 0 0
2452458.795741 10796132.770365 101144.433436 0 0
2452459.045755 10780149.274260 101142.745601 0 0
2452459.295769 10746651.107860 101141.669834 0 0
2452459.545737 11060997.060227 101132.543340 0 0
2452459.795739 10909197.098899 101131.384431 0 0
2452460.045735 10724965.146092 101128.258796 0 0
2452460.295739 10636229.649812 101126.577253 0 0
2452460.545738 10465060.537911 101124.593386 0 0
2452460.795757 10249838.941265 101120.892753 0 0
2452461.045757 10250410.825506 101118.420701 0 0
2452461.295745 10063642.935934 101133.578746 0 0
2452461.545753 10072986.955829 101097.610683 0 0
2452461.795770 9958152.675005 101108.140517 0 0
2452462.045746 10142555.091897 101110.183719 0 0
2452462.795742 10064808.672866 101110.980799 0 0
2452463.045738 10073371.136709 101111.267698 0 0
2452463.295737 10101910.333823 101114.147546 0 0
2452463.545741 9951110.775705 101138.652725 0 0
2452463.795735 9874416.650288 105891.494235 0 0
2452464.045735 9805346.151700 105890.794665 0 0
2452464.295746 9818797.410933 105891.509112 0 0
2452464.545747 9816074.543233 105889.470925 0 0
2452464.795733 9748628.014466 105888.768978 0 0
2452465.045780 9572035.117363 105887.251769 0 0
2452465.295736 9625065.700847 105891.364192 0 0
2452465.545736 9654998.944872 106015.352352 0 0
2452465.795741 9470142.918901 106012.514025 0 0
2452466.045764 9539550.904369 106013.396141 0 0
2452466.295759 9584716.842054 106015.148864 0 0
2452466.545740 9550619.777187 106010.128393 0 0
2452466.795735 9603656.455638 106010.798437 0 0
